[2025-04-28 15:17:32,692: INFO: main: welcome to custom log]
[2025-04-28 15:17:41,682: INFO: main: welcome to custom log]
[2025-04-28 15:18:08,068: INFO: main: welcome to custom log]
[2025-04-29 22:39:25,837: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-29 22:39:25,854: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-29 22:40:42,381: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-29 22:40:42,387: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-29 22:43:17,391: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-29 22:43:17,405: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-29 22:43:17,408: INFO: common: created directory at: artifacts]
[2025-04-29 22:43:17,409: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-29 22:43:17,410: INFO: 39627879: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-29 22:43:39,575: INFO: 39627879: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-29 23:02:03,421: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-29 23:02:03,425: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-29 23:02:03,425: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-29 23:02:03,425: INFO: common: created directory at: artifacts]
[2025-04-29 23:02:03,425: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-29 23:02:03,431: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-29 23:02:27,629: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-29 23:02:28,485: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
